,Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA,DEMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,T3,TEMA,TRIMA,WMA
100,03-Aug-2020,194.0,194.0,191.9,192.95,192.6,13265435,2556342053.7,196.7,194.84,197.76,196.18,192.13,196.7,196.75,196.35,199.03,-199.03,195.27,195.38,197.09,196.3
101,04-Aug-2020,192.6,195.8,192.6,193.8,193.65,17189317,3343471941.95,196.96,194.77,197.44,195.86,192.15,196.96,196.75,196.35,198.58,-198.58,194.58,194.98,196.95,196.11
102,05-Aug-2020,194.5,194.6,191.7,192.8,192.8,48768468,9403161195.05,196.98,194.64,197.03,195.64,192.15,196.98,196.75,196.35,198.15,-198.15,193.96,194.45,196.75,195.84
103,06-Aug-2020,194.2,195.6,193.1,195.2,195.35,17886231,3487124510.35,196.74,194.68,196.94,195.53,192.2,196.74,196.75,196.35,197.76,-197.76,193.73,194.42,196.52,195.73
104,07-Aug-2020,195.5,197.0,194.15,196.0,196.05,20913956,4097567227.6,196.74,194.76,196.96,195.46,192.21,196.74,196.75,196.35,197.38,-197.38,193.9,194.54,196.33,195.68
105,10-Aug-2020,196.4,199.65,196.4,199.45,198.85,16474715,3270481955.35,196.81,195.07,197.4,195.49,192.26,196.81,197.0,196.45,191.5,191.5,194.7,195.27,196.18,195.86
106,11-Aug-2020,200.0,207.7,200.0,203.4,203.05,55143098,11295475191.0,197.08,195.6,198.29,195.67,192.45,197.08,198.1,197.55,191.66,191.66,196.32,196.63,196.09,196.28
107,12-Aug-2020,202.5,204.9,200.4,204.3,204.2,21287300,4313268889.1,197.1,196.17,199.21,196.03,192.5,197.1,198.55,198.0,192.13,192.13,198.38,197.98,196.05,196.75
108,13-Aug-2020,203.5,204.2,197.1,201.3,201.45,22698994,4578464744.8,196.92,196.5,199.65,196.59,192.61,196.92,198.55,198.0,192.86,192.86,200.08,198.61,196.04,197.02
109,14-Aug-2020,201.6,203.35,195.5,196.55,196.4,28752399,5737507766.65,196.58,196.5,199.45,196.95,192.7,196.58,198.55,198.0,193.55,193.55,200.68,198.29,196.03,196.99
110,17-Aug-2020,198.05,199.5,196.85,198.65,198.75,11741074,2329154244.6,196.52,196.64,199.53,197.02,192.74,196.52,198.55,198.0,194.19,194.19,200.64,198.39,196.07,197.13
111,18-Aug-2020,199.9,199.9,197.25,198.8,198.55,12488479,2477157241.65,196.66,196.78,199.61,197.07,192.81,196.66,198.55,198.0,194.8,194.8,200.34,198.49,196.14,197.27
112,19-Aug-2020,198.6,201.7,198.1,198.6,198.45,15474846,3090948729.05,196.73,196.9,199.66,197.13,192.85,196.73,198.55,198.0,195.37,195.37,199.94,198.54,196.21,197.4
113,20-Aug-2020,197.0,197.2,194.55,196.0,195.8,16910657,3313706063.3,196.73,196.84,199.37,197.27,192.86,196.73,198.55,198.0,204.3,-204.3,199.25,198.11,196.29,197.35
114,21-Aug-2020,198.0,199.2,196.3,197.2,196.8,17234086,3405908230.15,196.83,196.86,199.25,197.47,192.9,196.83,198.55,198.0,204.1,-204.1,198.55,197.94,196.4,197.38
115,24-Aug-2020,197.25,199.0,196.35,197.5,196.7,14737758,2908311784.75,196.82,196.9,199.18,197.71,192.92,196.82,198.55,198.0,203.91,-203.91,198.01,197.84,196.52,197.43
116,25-Aug-2020,197.25,198.3,195.1,195.7,195.4,15199285,2980915921.0,196.8,196.82,198.88,197.91,192.93,196.8,199.75,198.7,203.73,-203.73,197.44,197.42,196.67,197.35
117,26-Aug-2020,196.5,196.55,193.65,195.0,194.95,22631585,4405659707.0,196.67,196.71,198.52,198.09,192.96,196.67,199.65,198.98,203.54,-203.54,196.79,196.93,196.84,197.24
118,27-Aug-2020,198.5,198.9,193.9,194.35,194.25,47213462,9213831285.35,196.69,196.56,198.11,198.16,192.96,196.69,199.32,198.98,203.15,-203.15,196.08,196.38,197.04,197.09
119,28-Aug-2020,194.6,196.3,194.05,195.85,195.55,34645794,6753091918.3,196.74,196.51,197.92,198.18,192.98,196.74,199.32,198.98,202.77,-202.77,195.59,196.17,197.22,197.03
120,31-Aug-2020,199.0,199.0,190.0,190.9,191.1,96998374,18688480760.35,196.68,196.15,197.13,197.96,192.97,196.68,197.6,197.15,202.4,-202.4,194.76,195.09,197.37,196.66
121,01-Sep-2020,191.1,192.35,188.25,191.3,190.2,39779316,7560052404.35,196.65,195.83,196.46,197.46,192.96,196.65,196.1,194.78,201.66,-201.66,193.76,194.22,197.43,196.31
122,02-Sep-2020,191.3,193.0,189.65,192.05,191.35,20585664,3932553157.7,196.49,195.59,195.95,196.77,192.94,196.49,194.85,193.52,200.59,-200.59,192.89,193.6,197.4,196.01
123,03-Sep-2020,191.4,193.25,190.0,191.45,191.6,15692484,3003365326.1,196.16,195.32,195.41,196.05,192.9,196.16,194.85,193.52,199.6,-199.6,192.18,192.95,197.3,195.69
124,04-Sep-2020,190.0,190.0,185.7,187.25,186.7,41389121,7764152125.25,195.74,194.8,194.39,195.36,192.66,195.74,193.02,192.25,198.69,-198.69,191.16,191.64,197.15,195.11
125,07-Sep-2020,187.25,190.5,180.8,190.3,189.1,32663990,6087876417.4,195.56,194.51,193.86,194.85,192.62,195.56,192.92,189.7,197.39,-197.39,190.33,191.05,196.99,194.76
126,08-Sep-2020,189.6,190.55,184.6,188.5,188.15,25591395,4817541879.3,195.32,194.12,193.15,194.44,192.53,195.32,192.38,189.15,195.4,-195.4,189.61,190.22,196.77,194.31
127,09-Sep-2020,185.5,186.25,182.3,184.25,183.8,27830197,5112811204.75,194.9,193.49,191.98,193.88,192.21,194.9,190.88,189.15,193.65,-193.65,188.51,188.74,196.48,193.59
128,10-Sep-2020,184.1,185.7,183.2,185.05,184.9,17785076,3281491700.25,194.62,192.94,191.02,193.47,192.04,194.62,190.88,189.15,192.11,-192.11,187.32,187.61,196.13,192.96
129,11-Sep-2020,184.9,186.5,182.75,184.0,183.95,19256801,3547205372.55,194.28,192.37,190.03,193.04,191.79,194.28,189.92,188.32,190.75,-190.75,186.14,186.45,195.72,192.27
130,14-Sep-2020,185.8,185.85,183.0,183.25,183.35,30993032,5695277201.55,193.96,191.78,189.04,192.69,191.54,193.96,189.55,188.32,189.56,-189.56,185.03,185.32,195.24,191.56
131,15-Sep-2020,184.0,184.2,180.8,181.85,181.8,30772104,5592275810.0,193.56,191.14,187.98,192.32,191.18,193.56,188.85,188.32,188.51,-188.51,183.93,184.1,194.68,190.78
132,16-Sep-2020,181.85,183.5,180.05,180.6,180.65,50645681,9172976026.3,193.15,190.46,186.87,192.25,190.77,193.15,188.22,187.95,187.58,-187.58,182.82,182.83,194.05,189.94
133,17-Sep-2020,180.8,181.5,177.8,178.35,178.6,33936149,6076484474.1,192.59,189.68,185.59,192.21,190.01,192.59,185.2,184.92,186.53,-186.53,181.55,181.35,193.35,188.99
134,18-Sep-2020,179.55,179.85,177.0,179.5,179.1,29783208,5316150215.3,192.04,189.02,184.58,192.04,189.39,192.04,185.2,184.52,185.13,-185.13,180.44,180.29,192.58,188.14
135,21-Sep-2020,180.0,180.6,175.05,175.3,175.75,23892510,4233947396.25,191.24,188.13,183.15,191.81,187.94,191.24,183.68,183.55,183.67,-183.67,179.13,178.63,191.75,187.06
136,22-Sep-2020,175.75,176.75,173.75,174.0,174.2,18532637,3238895808.2,190.26,187.22,181.71,191.41,185.79,190.26,182.72,182.6,181.94,-181.94,177.62,176.98,190.88,185.95
137,23-Sep-2020,174.95,177.55,171.7,173.1,172.5,61785758,10735994901.75,189.22,186.31,180.3,191.0,183.63,189.22,181.7,181.0,180.3,-180.3,176.07,175.41,189.99,184.84
138,24-Sep-2020,171.7,171.75,166.15,167.4,166.55,31486886,5299393510.9,188.09,185.09,178.33,190.54,180.71,188.09,178.85,178.23,178.58,-178.58,174.02,173.05,189.04,183.44
139,25-Sep-2020,168.9,171.2,167.0,171.15,170.75,26627778,4513943184.1,187.24,184.19,177.02,189.99,179.61,187.24,177.95,177.32,176.1,-176.1,172.27,171.71,188.07,182.34
140,28-Sep-2020,171.0,174.8,170.5,173.65,173.3,23194739,4018744553.3,186.41,183.51,176.17,189.4,178.95,186.41,176.23,175.6,174.11,-174.11,171.33,171.03,187.07,181.47
141,29-Sep-2020,174.75,174.75,169.0,169.5,169.4,25617617,4363345268.6,185.43,182.61,174.89,188.52,177.74,185.43,176.23,175.6,173.65,-173.65,170.6,169.74,186.02,180.38
142,30-Sep-2020,170.0,172.1,168.7,171.95,171.7,18482053,3156244560.3,184.54,181.92,174.06,187.28,177.14,184.54,175.7,175.08,173.65,-173.65,170.27,169.1,184.96,179.51
143,01-Oct-2020,174.5,174.6,170.1,170.9,170.85,19758300,3387016368.85,183.71,181.21,173.19,186.12,176.53,183.71,175.32,174.7,172.15,-172.15,170.13,168.41,183.91,178.63
144,05-Oct-2020,171.1,172.8,168.75,169.3,169.25,24301177,4136375179.55,182.78,180.44,172.22,185.05,175.7,182.78,174.62,174.0,171.95,-171.95,169.92,167.56,182.84,177.7
145,06-Oct-2020,169.5,171.6,168.1,170.2,169.9,21886300,3714042578.7,181.87,179.78,171.47,183.94,175.1,181.87,174.0,173.38,170.9,-170.9,169.75,167.03,181.77,176.89
146,07-Oct-2020,170.0,170.9,169.0,169.55,169.5,16286695,2765408695.3,180.99,179.12,170.73,182.95,174.51,180.99,173.45,172.82,170.2,-170.2,169.59,166.5,180.71,176.09
147,08-Oct-2020,170.1,170.4,166.9,167.1,167.15,25503975,4282231316.75,180.06,178.34,169.77,181.97,173.69,180.06,173.3,172.82,170.2,-170.2,169.15,165.64,179.65,175.2
148,09-Oct-2020,167.5,168.9,166.35,168.0,167.85,22373477,3746295615.95,179.19,177.68,169.03,181.04,173.11,179.19,171.2,170.73,169.55,-169.55,168.67,165.1,178.6,174.42
149,12-Oct-2020,170.5,175.2,170.0,172.45,172.2,66250654,11432272454.8,178.41,177.34,168.94,180.23,173.06,178.41,170.55,170.08,166.15,166.15,168.77,165.48,177.6,173.98
150,13-Oct-2020,172.85,174.85,169.5,169.8,170.15,35685353,6151692739.6,177.7,176.85,168.54,179.22,172.83,177.7,170.38,169.9,166.28,166.28,169.03,165.39,176.64,173.43
